lab4.cpp
lab4.err
lab4.out
lab4.sh
t v x
x=0.5
1.12 -0.356539 0.0325907
1.122 -0.364477 0.0318776
1.124 -0.372259 0.0311487
1.126 -0.379882 0.0304041
1.128 -0.38734 0.0296444
1.13 -0.394628 0.0288697
1.132 -0.401742 0.0280804
1.134 -0.408678 0.027277
1.136 -0.41543 0.0264596
1.138 -0.421993 0.0256287
1.14 -0.428363 0.0247848
1.142 -0.434535 0.023928
1.144 -0.440505 0.023059
1.146 -0.446266 0.022178
1.148 -0.451816 0.0212854
1.15 -0.457148 0.0203818
1.152 -0.462259 0.0194675
1.154 -0.467143 0.018543
1.156 -0.471795 0.0176087
1.158 -0.476212 0.0166651
1.16 -0.480388 0.0157127
1.162 -0.484318 0.0147519
1.164 -0.487999 0.0137833
1.166 -0.491426 0.0128073
1.168 -0.494593 0.0118244
1.17 -0.497498 0.0108352
1.172 -0.500136 0.00984023
1.174 -0.502501 0.00883996
1.176 -0.504592 0.00783496
1.178 -0.506402 0.00682577
1.18 -0.507929 0.00581297
1.182 -0.509169 0.00479711
1.184 -0.510117 0.00377878
1.186 -0.510771 0.00275854
1.188 -0.511127 0.001737
1.19 -0.511182 0.000714744
1.192 -0.510933 -0.000307621
1.194 -0.510377 -0.00132949
1.196 -0.509511 -0.00235024
1.198 -0.508332 -0.00336926
1.2 -0.506839 -0.00438593
1.202 -0.505029 -0.00539961
1.204 -0.502901 -0.00640966
1.206 -0.500452 -0.00741547
1.208 -0.497681 -0.00841637
1.21 -0.494588 -0.00941173
1.212 -0.49117 -0.0104009
1.214 -0.487428 -0.0113832
1.216 -0.483361 -0.0123581
1.218 -0.478968 -0.0133248
1.22 -0.474251 -0.0142828
1.222 -0.469209 -0.0152313
1.224 -0.463843 -0.0161697
1.226 -0.458155 -0.0170974
1.228 -0.452145 -0.0180137
1.23 -0.445816 -0.018918
1.232 -0.439169 -0.0198096
1.234 -0.432207 -0.0206879
1.236 -0.424932 -0.0215523
1.238 -0.417348 -0.0224022
1.24 -0.409458 -0.0232369
1.242 -0.401266 -0.0240558
1.244 -0.392775 -0.0248584
1.246 -0.38399 -0.0256439
1.248 -0.374917 -0.0264119
1.25 -0.365559 -0.0271617
1.252 -0.355923 -0.0278928
1.254 -0.346015 -0.0286047
1.256 -0.33584 -0.0292967
1.258 -0.325406 -0.0299684
1.26 -0.314718 -0.0306192
1.262 -0.303785 -0.0312486
1.264 -0.292614 -0.0318562
1.266 -0.281212 -0.0324414
1.268 -0.269588 -0.0330039
1.27 -0.25775 -0.033543
1.272 -0.245708 -0.0340585
1.274 -0.23347 -0.03455
1.276 -0.221045 -0.0350169
1.278 -0.208444 -0.035459
1.28 -0.195675 -0.0358759
1.282 -0.18275 -0.0362672
1.284 -0.169678 -0.0366327
1.286 -0.15647 -0.0369721
1.288 -0.143137 -0.037285
1.29 -0.12969 -0.0375713
1.292 -0.11614 -0.0378307
1.294 -0.102498 -0.038063
1.296 -0.088775 -0.038268
1.298 -0.0749835 -0.0384455
1.3 -0.0611346 -0.0385955
1.302 -0.0472401 -0.0387177
1.304 -0.0333118 -0.0388122
1.306 -0.0193614 -0.0388788
1.308 -0.00540092 -0.0389176
1.31 0.00855791 -0.0389284
1.312 0.0225032 -0.0389113
1.314 0.0364232 -0.0388662
1.316 0.050306 -0.0387934
1.318 0.0641399 -0.0386928
1.32 0.0779134 -0.0385645
1.322 0.0916148 -0.0384087
1.324 0.105233 -0.0382254
1.326 0.118756 -0.038015
1.328 0.132173 -0.0377775
1.33 0.145474 -0.0375131
1.332 0.158647 -0.0372222
1.334 0.171682 -0.0369049
1.336 0.184568 -0.0365615
1.338 0.197295 -0.0361924
1.34 0.209854 -0.0357978
1.342 0.222234 -0.0353781
1.344 0.234426 -0.0349336
1.346 0.246422 -0.0344648
1.348 0.258212 -0.0339719
1.35 0.269788 -0.0334555
1.352 0.281141 -0.0329159
1.354 0.292264 -0.0323536
1.356 0.303148 -0.0317691
1.358 0.313788 -0.0311628
1.36 0.324175 -0.0305352
1.362 0.334303 -0.0298869
1.364 0.344166 -0.0292183
1.366 0.353757 -0.02853
1.368 0.363072 -0.0278224
1.37 0.372105 -0.0270963
1.372 0.380852 -0.0263521
1.374 0.389306 -0.0255904
1.376 0.397465 -0.0248118
1.378 0.405325 -0.0240168
1.38 0.412881 -0.0232062
1.382 0.420132 -0.0223804
1.384 0.427073 -0.0215402
1.386 0.433703 -0.020686
1.388 0.440019 -0.0198186
1.39 0.446019 -0.0189386
1.392 0.451703 -0.0180465
1.394 0.457068 -0.0171431
